"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"CN_Lovely_Wholesale","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.317643165","NaN","NaN"
"","","rtbFBX","A23","6.0","0.0","0.0","0.0","0.23043741","NaN","NaN"
"CN_Mcake","CPC","rtb-google-auto","A23","186510.0","10.0","3.0","4141.4155175","3056.191930168","20.604057300995024","414.14155174999996"
"","","RTB_Ad-china","A23","14785.0","0.0","0.0","82.4162292","108.0026007","20.6040573","Infinity"
"","","rtb-rubicon","A23","163.0","0.0","0.0","0.0","1.95881652","NaN","NaN"
"","","rtbbaidu","A23","171171.0","4.0","1.0","2307.6544175999998","1394.6017770300002","20.604057299999997","576.9136043999999"
"","","rtbpubmatc","A23","347.0","0.0","0.0","0.0","7.91058917","NaN","NaN"
"","","rtbtanx","A23","197048.0","2.0","1.0","2287.0503602999997","1403.554699584","20.604057299999997","1143.5251801499999"
"CN_Moonbasa","CPC","rtb-google-auto","A23","107878.0","22.0","8.0","12193.40794578","6428.2165086879995","16.456497414747734","578.2214773454544"
"","","rtbbaidu","A23","274349.0","29.0","16.0","19865.183470180003","8784.495502020001","16.458023388755983","711.6676320517242"
"","","rtbtanx","A23","129890.0","10.0","7.0","8772.16096756","4043.957689656","16.455161705234655","911.6159584699999"
"CN_Old_Navy","CPC","rtb-google-auto","A23","89.0","0.0","0.0","708.3701308999999","0.0","16.473723974418604","Infinity"
"","","RTB_Ad-china","A23","4129.0","0.0","0.0","181.0086249","49.1494585","16.455329536363635","Infinity"
"","","rtb-rubicon","A23","217.0","0.0","0.0","0.0","11.374846080000001","NaN","NaN"
"","","rtbpubmatc","A23","74.0","0.0","0.0","0.0","3.35402617","NaN","NaN"
"","","rtbtanx","A23","62112.0","3.0","1.0","1661.7370584","1044.429749424","16.45284216237624","553.9123528"
"CN_Sign-In-China","CPC","rtbFB-XNF","A23","9.0","0.0","0.0","32.761776","0.39571959","32.761776","Infinity"
"","","rtbFBX","A23","3432.0","1.0","1.0","327.61776000000003","30.720682124999996","32.761776000000005","327.61776000000003"
"","","rtb-google-auto","A23","3932.0","0.0","0.0","491.42663589999995","127.20168240000001","32.76177572666666","Infinity"
